,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0191014,0.0,0.0,0.00036486348196,0.0355401,0.0,0.0012630987080099,0.0,0.011757,0.0,0.0,0.000138227049,0.000196513,0.0,0.0,3.8617359169e-08,0.000252484,0.0,6.374817025600003e-08,0.0,-0.000210639,0.0,4.4368788321000014e-08,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.754291853469032e-30,-8.223872232468199e-30,-8.222273019798608e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.019622,-0.0005205999999999,2.7102435999999946e-07,0.000385022884,0.0279553,-0.0075847999999999,0.00078149879809,5.752919103999999e-05,-4.324310000000001e-05,-0.0118002431,0.000139245737219,1.8699656976100004e-09,0.000186561,-9.952000000000002e-06,9.904230400000004e-11,3.4805006721e-08,0.000415938,0.000163454,1.7300441984400008e-07,2.6717210116e-08,-0.000260685,-5.0045999999999954e-05,6.795666922499999e-08,2.5046021159999962e-09,-1.3971764111764799e-31,-1.3970506860812396e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.00020576553212736285,-0.0016670249205885984,-0.009644541646703638,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0154898,0.0041322,1.7075076840000005e-05,0.00023993390404,-0.0176013,-0.0455565999999999,0.00030980576169,0.00207540380356,-6.34692e-05,-2.0226099999999996e-05,4.090951212099997e-10,4.0283393486400005e-09,5.9362700000000014e-05,-0.0001271983,1.6179407522889998e-08,3.523930151290001e-09,0.000608358,0.00019242,3.70099456164e-07,3.70254564e-08,-0.000189123,7.156199999999998e-05,3.5767509129e-08,5.121119843999997e-09,-2.8321547685216198e-05,-0.00016388337578121027,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.003949095731026054,-0.0594301953417847,-0.18511649822516085,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0144869,0.0010028999999999,1.0058084099999985e-06,0.00020987027161,-0.03835,-0.0207487,0.0014707225,0.00043050855169,0.0153234,0.0153868691999999,0.0002367557437779,0.00023480658756,0.0,-5.9362700000000014e-05,3.523930151290001e-09,0.0,0.000698937,9.057899999999992e-05,4.885129299689999e-07,8.204555240999985e-09,-0.000126384,6.2739e-05,1.5972915456e-08,3.936182121e-09,-0.001009676034548887,-0.0031460502708114783,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.016081312114273532,-0.3839130260485544,-0.753907111282329,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.016518,-0.0020311,4.125367210000004e-06,0.000272844324,0.017136,0.055486,0.000293642496,0.003078696196,0.0291345,0.0138111,0.00019074648321,0.00084881909025,0.000278157,0.000278157,7.737131664900001e-08,7.737131664900001e-08,0.000463348,-0.0002355889999999,2.1469136910400007e-07,5.550217692099995e-08,-0.000114282,1.2102e-05,1.3060375524e-08,1.46458404e-10,-0.006522404638300607,-0.012815150801306954,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.035310159866659065,-1.23810260302047,-1.6556099966796556,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0109479,0.0055701,3.1026014010000006e-05,0.00011985651441,0.0388378,0.0217018,0.00150837470884,0.00047096812324,0.0157006,-0.0134339,0.00018046966921,0.0002465088403599,0.00034043,6.2273e-05,3.877926529000001e-09,1.158925849e-07,0.000468963,5.614999999999993e-06,2.19926295369e-07,3.1528224999999925e-11,-9.65251e-05,1.7756899999999993e-05,9.31709493001e-09,3.1530749760999965e-10,-0.021034467738042986,-0.028149592078811438,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.05549466996814734,-2.742716221800936,-2.6024906068810725,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0136793999999999,-0.0027314999999999,7.461092249999979e-06,0.0001871259843599,0.00579632,-0.03304148,3.35973255424e-05,0.0010917394005904,0.0161268,0.0004262,1.8164644000000134e-07,0.00026007367824,0.00012395,-0.00021648,4.68635904e-08,1.5363602500000002e-08,0.000347568,-0.000121395,1.2080351462400005e-07,1.4736746025e-08,-7.92504e-05,1.7274700000000006e-05,6.280625900160001e-09,2.9841526009000016e-10,-0.046596764873391594,-0.04426311492247986,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.0706871554343365,-4.814825268336773,-3.3157510792753953,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.013333,0.0003463999999999,1.1999295999999777e-07,0.000177768889,-0.0228705,-0.02866682,0.00052305977025,0.0008217865689124,0.0206273,0.0045005,2.025450025000001e-05,0.00042548550529,-9.85538e-05,-0.0002225038,4.950794101443999e-08,9.712851494439998e-09,0.000468963,0.000121395,2.19926295369e-07,1.4736746025e-08,-1.23474e-05,6.6903e-05,1.5245828676e-10,4.4760114090000015e-09,-0.08180039887168344,-0.05641767335282492,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.07792169683218314,-7.232975918980813,-3.656256205779336,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.00854673,0.00478627,2.290838051290001e-05,7.304659369290001e-05,-0.0108836,0.0119869,0.0001184527489599,0.00014368577161,0.0442466,0.0236193,0.00055787133249,0.00195776161156,0.000462537,0.0005610907999999,3.1482288584463986e-07,2.1394047636899998e-07,0.000115487,-0.000353476,1.3337247169e-08,1.24945282576e-07,-7.15539e-05,-5.920650000000001e-05,5.119960605210001e-09,3.5054096422500006e-09,-0.12288302944091968,-0.06224553012406505,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.07727405166240732,-9.738582448583646,-3.6274018288287952,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.00616172,0.00238501,5.688272700100004e-06,3.79667933584e-05,0.0348368,0.0457204,0.00121360263424,0.00209035497616,0.0293031,-0.0149435,0.00022330819225,0.00085867166961,7.25994e-05,-0.0003899376,1.5205133189375994e-07,5.270672880360001e-09,0.000341802,0.000226315,1.16828607204e-07,5.1218479225e-08,-0.000158625,-8.707109999999999e-05,2.5161890625e-08,7.581376455209997e-09,-0.16545147213911282,-0.061799788377291665,1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25843933216319126,0.07065133625560102,-12.112190034048231,-3.3184368787238387,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-0.00944621,-0.00328449,1.07878745601e-05,8.92308833641e-05,0.0208976,-0.0139392,0.00043670968576,0.00019430129664,0.00348617,-0.02581693,0.0006665138746249,1.21533812689e-05,0.0,-7.25994e-05,5.270672880360001e-09,0.0,0.00022588,-0.000115922,5.10217744e-08,1.3437910083999998e-08,-9.52727e-05,6.335229999999999e-05,9.07688736529e-09,4.01351391529e-09,-0.2057773482477858,-0.05659282767482255,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.16147566981520864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30315409365364804,0.06051467662860974,-14.207821855900972,-2.844618819963173,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,-0.00942865,1.7559999999999798e-05,3.0835359999999285e-10,8.889944082250001e-05,-0.0190787,-0.0399763,0.0003639967936899,0.00159810456169,0.00987187,0.0063856999999999,4.077716448999999e-05,9.74538172969e-05,-0.000220727,-0.000220727,4.8720408529000014e-08,4.8720408529000014e-08,0.000405097,0.000179217,1.64103579409e-07,3.2118733089e-08,1.609e-05,0.0001113627,2.588881e-10,1.240165095129e-08,-0.2413806171853029,-0.0485801979610994,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077759977463885,0.1309021672623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3404159991548957,0.04904485645159054,-15.954163160392778,-2.3081110608164472,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,-0.00642738,0.00300127,9.007621612900004e-06,4.13112136644e-05,-0.0295145,-0.0104358,0.0008711057102499,0.0001089059216399,0.0162438999999999,0.0063720299999999,4.060276632089994e-05,0.0002638642872099,-0.000248324,-2.7597e-05,7.61594409e-10,6.166480897600002e-08,0.000468963,6.386600000000004e-05,2.19926295369e-07,4.078865956000005e-09,-4.72007e-05,-6.32907e-05,2.22790608049e-09,4.0057127064899985e-09,-0.2710496928655657,-0.039496315849706816,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865261328026859,0.10089918933561029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36994729980100716,0.03778996987031426,-17.338196784007206,-1.7814598280681904,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,-0.000228158,0.006199222,3.8430353405284e-05,5.2056072964e-08,0.0174845999999999,0.0469991,0.0003057112371599,0.0022089154008099,0.0259806,0.0097367,9.480332689000007e-05,0.00067499157636,0.0,0.000248324,6.166480897600002e-08,0.0,1.5888299999999998e-05,-0.0004530747,2.5243807688999987e-10,2.052766837800901e-07,-8.68938e-05,-3.96931e-05,7.55053247844e-09,1.57554218761e-09,-0.29456342309540434,-0.030573458214857543,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046035070680764,0.07383503255714755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922631515052865,0.027638062317699,-18.384066367214427,-1.3062992912235518,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,-0.000260653,-3.2495000000000034e-05,1.055925025000002e-09,6.793998640900001e-08,0.0297174,0.0122328,0.00088312386276,0.00014964139584,0.00926821,-0.01671239,0.0002793039795121,8.589971660410002e-05,0.0,0.0,0.0,0.0,1.5888299999999998e-05,0.0,2.5243807688999987e-10,0.0,-0.000117188,-3.029419999999999e-05,1.3733027343999997e-08,9.177385536399995e-10,-0.3123319908639426,-0.022519388020937767,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.859211932924149e-06,3.16934083323976e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0879479638694216,0.04746430858552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.407981933655508,0.01775891925501051,-19.120741713019015,-0.8436423102011187,0.0574505814,0.0568864325999999,0.0559502845,0.0546482591,0.0529888705,-0.00416863,-0.003907977,1.5272284232528998e-05,1.7377476076900002e-05,0.00835747,-0.02135993,6.984730480090001e-05,0.0004562466096049,0.00926821,0.0,0.0,8.589971660410002e-05,0.0,0.0,0.0,0.0,1.5888299999999998e-05,0.0,2.5243807688999987e-10,0.0,-4.07693e-05,7.64187e-05,1.6621358224899996e-09,5.839817709689999e-09,-0.32485496866451746,-0.014733010362697186,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009822999647879297,0.00390981648694191,0.0,0.0,0.0,0.0,0.0,0.0,1.10774170163506,0.008155403116015484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415771500599943,0.004471381791067159,-19.482877428222967,-0.2094823159070292,0.057425495,0.0567864369,0.0557266029,0.0542538461,0.0523790793,-0.000201925,0.003966705,1.5734748557025002e-05,4.0773705625e-08,-0.0138936,-0.02225107,0.0001930321209599,0.0004951101161449,0.00929722,2.900999999999945e-05,8.415800999999682e-10,8.64382997284e-05,-0.0001594389999999,-0.0001594389999999,2.5420794720999994e-08,2.5420794720999994e-08,-5.93578e-05,-7.52461e-05,3.52334842084e-09,5.6619755652099996e-09,2.17749e-05,6.254419999999999e-05,4.741462700099999e-10,3.911776953639999e-09,-0.33288265378450366,-0.01140109960483386,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01081005901933674,0.02567057945946136,0.0,0.0,0.0,0.0,0.0,0.0,1.0931019878845059,-0.05038767899370396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4139670175889409,-0.009321754312336991,-19.368824047277023,0.5023027619581526,0.0573988447,0.0566802553,0.0554892628,0.0538357935,0.0517336283,-9.6302e-05,0.000105623,1.1156218128999997e-08,9.274075204e-09,-0.0083380799999999,0.00555552,6.952357808639996e-05,3.086380247040003e-05,0.0358326,0.02653538,0.0007041263917443,0.00128397522276,0.000542331,0.0007017699999999,4.924811328999998e-07,2.94122913561e-07,-0.000284626,-0.0002252682,8.1011959876e-08,5.074576193124e-08,8.236009999999997e-05,6.058519999999998e-05,6.7831860720099965e-09,3.6705664590399965e-09,-0.3497806684775124,-0.041041188815740474,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04463997870837012,0.07019915120031402,0.0,0.0,0.0,0.0,0.0,0.0,1.034454958908191,-0.11710534221035908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4046606016062104,-0.017641464510749657,-18.831173592485957,1.0261142612592056,0.0573706312,0.0565678992999999,0.0552383224,0.0533942834,0.0510529568,-2.16052e-05,7.469679999999999e-05,5.579611930239999e-09,4.667846670400001e-10,0.0384269,0.04676498,0.00147662664361,0.0021869633544004,0.0169402,-0.0188924,0.0003569227777599,0.00028697037604,-0.000103631,-0.0006459619999999,4.17266905444e-07,1.0739384161e-08,-0.000112354,0.000172272,1.2623421316e-08,2.9677641984e-08,-6.71464e-05,-0.0001495064999999,4.50863903296e-09,2.2352193542249988e-08,-0.40548416729542697,-0.11757339281025088,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11389581269458347,0.12516687522069958,0.0,0.0,0.0,0.0,0.0,0.0,0.9328829552197928,-0.17492349493171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39254203796789106,-0.018708805575525483,-18.055449408011416,1.241477767428522,0.0573408553,0.0564493811,0.0549738430999999,0.0529295080999999,0.0503375282,-4.06233e-05,-1.90181e-05,3.6168812761e-10,1.6502525028899996e-09,0.029016,-0.0094108999999999,0.000841928256,8.856503880999994e-05,0.00927447,-0.0076657299999999,5.876341643289996e-05,8.60157937809001e-05,0.0,0.000103631,1.0739384161e-08,0.0,-8.527260000000001e-05,2.7081399999999995e-05,7.271416310760001e-09,7.334022259599996e-10,1.89163e-05,8.60627e-05,3.5782640569e-10,7.406788331289999e-09,-0.5250396102224684,-0.21945209877990404,1
